game_id,team,starter_id,starter_name
ANA199806230,LAA,washj001,Jarrod Washburn
ANA199806230,LAD,mlicd001,Dave Mlicki
ANA199806300,LAA,finlc001,Chuck Finley
ANA199806300,SF,estes001,Shawn Estes
ANA199807010,LAA,spars001,Steve Sparks
ANA199807010,SF,darwd001,Danny Darwin
ANA199807020,LAA,dickj001,Jason Dickson
ANA199807020,SF,ruetk001,Kirk Rueter
ANA199807030,ATH,candt001,Tom Candiotti
ANA199807030,LAA,olivo001,Omar Olivares
ANA199807040,ATH,oquim001,Mike Oquist
ANA199807040,LAA,washj001,Jarrod Washburn
ANA199807050,ATH,haynj001,Jimmy Haynes
ANA199807050,LAA,finlc001,Chuck Finley
ANA199807150,LAA,finlc001,Chuck Finley
ANA199807150,TB,alvaw001,Wilson Alvarez
ANA199807160,LAA,spars001,Steve Sparks
ANA199807160,TB,arror001,Rolando Arrojo
ANA199807170,BAL,drabd001,Doug Drabek
ANA199807170,LAA,dickj001,Jason Dickson
ANA199807180,BAL,rodrn001,Nerio Rodriguez
ANA199807180,LAA,washj001,Jarrod Washburn
ANA199807190,BAL,mussm001,Mike Mussina
ANA199807190,LAA,olivo001,Omar Olivares
ANA199807280,LAA,dickj001,Jason Dickson
ANA199807280,NYY,coned001,David Cone
ANA199807290,LAA,spars001,Steve Sparks
ANA199807290,NYY,herno001,Orlando Hernandez
ANA199807300,LAA,finlc001,Chuck Finley
ANA199807300,NYY,petta001,Andy Pettitte
ANA199807310,BOS,sabeb001,Bret Saberhagen
ANA199807310,LAA,olivo001,Omar Olivares
ANA199808010,BOS,martp001,Pedro Martinez
ANA199808010,LAA,watsa001,Allen Watson
ANA199808020,BOS,waket001,Tim Wakefield
ANA199808020,LAA,dickj001,Jason Dickson
ANA199808030,CLE,wrigj002,Jaret Wright
ANA199808030,LAA,spars001,Steve Sparks
ANA199808040,CLE,burbd001,Dave Burba
ANA199808040,LAA,finlc001,Chuck Finley
ANA199808050,CLE,colob001,Bartolo Colon
