game_id,date,season,season_label,sport,game_type,team,opponent,home_away,score_for,score_against,result,margin,total,decided_in,line,total_line,moneyline,odds_win,odds_draw,implied_win,line_result,ou_result,favorite
1990020047,1990-10-13,1990,1990-91,nhl,regular,CAR,MTL,H,5,2,W,3,7,REG,,,,,,,,,
1990020048,1990-10-13,1990,1990-91,nhl,regular,BUF,COL,A,4,4,T,0,8,OT,,,,,,,,,
1990020048,1990-10-13,1990,1990-91,nhl,regular,COL,BUF,H,4,4,T,0,8,OT,,,,,,,,,
1990020049,1990-10-13,1990,1990-91,nhl,regular,PIT,NYI,A,6,4,W,2,10,REG,,,,,,,,,
1990020049,1990-10-13,1990,1990-91,nhl,regular,NYI,PIT,H,4,6,L,-2,10,REG,,,,,,,,,
1990020050,1990-10-13,1990,1990-91,nhl,regular,NYR,WSH,A,5,2,W,3,7,REG,,,,,,,,,
1990020050,1990-10-13,1990,1990-91,nhl,regular,WSH,NYR,H,2,5,L,-3,7,REG,,,,,,,,,
1990020051,1990-10-13,1990,1990-91,nhl,regular,CGY,NJD,A,3,5,L,-2,8,REG,,,,,,,,,
1990020051,1990-10-13,1990,1990-91,nhl,regular,NJD,CGY,H,5,3,W,2,8,REG,,,,,,,,,
1990020052,1990-10-13,1990,1990-91,nhl,regular,ARI,PHI,A,3,4,L,-1,7,REG,,,,,,,,,
1990020052,1990-10-13,1990,1990-91,nhl,regular,PHI,ARI,H,4,3,W,1,7,REG,,,,,,,,,
1990020053,1990-10-13,1990,1990-91,nhl,regular,DET,TOR,A,3,3,T,0,6,OT,,,,,,,,,
1990020053,1990-10-13,1990,1990-91,nhl,regular,TOR,DET,H,3,3,T,0,6,OT,,,,,,,,,
1990020054,1990-10-13,1990,1990-91,nhl,regular,CHI,DAL,A,4,1,W,3,5,REG,,,,,,,,,
1990020054,1990-10-13,1990,1990-91,nhl,regular,DAL,CHI,H,1,4,L,-3,5,REG,,,,,,,,,
1990020055,1990-10-14,1990,1990-91,nhl,regular,CGY,CHI,A,3,1,W,2,4,REG,,,,,,,,,
1990020055,1990-10-14,1990,1990-91,nhl,regular,CHI,CGY,H,1,3,L,-2,4,REG,,,,,,,,,
1990020056,1990-10-14,1990,1990-91,nhl,regular,STL,LAK,A,1,4,L,-3,5,REG,,,,,,,,,
1990020056,1990-10-14,1990,1990-91,nhl,regular,LAK,STL,H,4,1,W,3,5,REG,,,,,,,,,
1990020057,1990-10-14,1990,1990-91,nhl,regular,EDM,VAN,A,4,5,L,-1,9,OT,,,,,,,,,
1990020057,1990-10-14,1990,1990-91,nhl,regular,VAN,EDM,H,5,4,W,1,9,OT,,,,,,,,,
1990020058,1990-10-15,1990,1990-91,nhl,regular,WSH,MTL,A,1,3,L,-2,4,REG,,,,,,,,,
1990020058,1990-10-15,1990,1990-91,nhl,regular,MTL,WSH,H,3,1,W,2,4,REG,,,,,,,,,
1990020059,1990-10-16,1990,1990-91,nhl,regular,CAR,COL,A,1,1,T,0,2,OT,,,,,,,,,
1990020059,1990-10-16,1990,1990-91,nhl,regular,COL,CAR,H,1,1,T,0,2,OT,,,,,,,,,
1990020060,1990-10-16,1990,1990-91,nhl,regular,ARI,NYI,A,1,4,L,-3,5,REG,,,,,,,,,
1990020060,1990-10-16,1990,1990-91,nhl,regular,NYI,ARI,H,4,1,W,3,5,REG,,,,,,,,,
1990020061,1990-10-16,1990,1990-91,nhl,regular,PHI,PIT,A,5,1,W,4,6,REG,,,,,,,,,
1990020061,1990-10-16,1990,1990-91,nhl,regular,PIT,PHI,H,1,5,L,-4,6,REG,,,,,,,,,
1990020062,1990-10-16,1990,1990-91,nhl,regular,CHI,DET,A,2,3,L,-1,5,REG,,,,,,,,,
1990020062,1990-10-16,1990,1990-91,nhl,regular,DET,CHI,H,3,2,W,1,5,REG,,,,,,,,,
1990020063,1990-10-16,1990,1990-91,nhl,regular,STL,EDM,A,5,2,W,3,7,REG,,,,,,,,,
1990020063,1990-10-16,1990,1990-91,nhl,regular,EDM,STL,H,2,5,L,-3,7,REG,,,,,,,,,
1990020064,1990-10-17,1990,1990-91,nhl,regular,BOS,VAN,A,1,3,L,-2,4,REG,,,,,,,,,
1990020064,1990-10-17,1990,1990-91,nhl,regular,VAN,BOS,H,3,1,W,2,4,REG,,,,,,,,,
1990020065,1990-10-17,1990,1990-91,nhl,regular,CAR,TOR,A,3,1,W,2,4,REG,,,,,,,,,
1990020065,1990-10-17,1990,1990-91,nhl,regular,TOR,CAR,H,1,3,L,-2,4,REG,,,,,,,,,
1990020066,1990-10-17,1990,1990-91,nhl,regular,MTL,BUF,A,4,3,W,1,7,REG,,,,,,,,,
1990020066,1990-10-17,1990,1990-91,nhl,regular,BUF,MTL,H,3,4,L,-1,7,REG,,,,,,,,,
1990020067,1990-10-17,1990,1990-91,nhl,regular,ARI,NYR,A,3,5,L,-2,8,REG,,,,,,,,,
1990020067,1990-10-17,1990,1990-91,nhl,regular,NYR,ARI,H,5,3,W,2,8,REG,,,,,,,,,
1990020068,1990-10-17,1990,1990-91,nhl,regular,WSH,NJD,A,2,3,L,-1,5,REG,,,,,,,,,
1990020068,1990-10-17,1990,1990-91,nhl,regular,NJD,WSH,H,3,2,W,1,5,REG,,,,,,,,,
1990020069,1990-10-17,1990,1990-91,nhl,regular,DAL,LAK,A,2,5,L,-3,7,REG,,,,,,,,,
1990020069,1990-10-17,1990,1990-91,nhl,regular,LAK,DAL,H,5,2,W,3,7,REG,,,,,,,,,
1990020070,1990-10-18,1990,1990-91,nhl,regular,MTL,DET,A,2,5,L,-3,7,REG,,,,,,,,,
1990020070,1990-10-18,1990,1990-91,nhl,regular,DET,MTL,H,5,2,W,3,7,REG,,,,,,,,,
1990020071,1990-10-18,1990,1990-91,nhl,regular,COL,PHI,A,4,5,L,-1,9,REG,,,,,,,,,
1990020071,1990-10-18,1990,1990-91,nhl,regular,PHI,COL,H,5,4,W,1,9,REG,,,,,,,,,
1990020072,1990-10-18,1990,1990-91,nhl,regular,TOR,CHI,A,0,3,L,-3,3,REG,,,,,,,,,
1990020072,1990-10-18,1990,1990-91,nhl,regular,CHI,TOR,H,3,0,W,3,3,REG,,,,,,,,,
1990020073,1990-10-18,1990,1990-91,nhl,regular,STL,CGY,A,4,3,W,1,7,REG,,,,,,,,,
1990020073,1990-10-18,1990,1990-91,nhl,regular,CGY,STL,H,3,4,L,-1,7,REG,,,,,,,,,
1990020074,1990-10-19,1990,1990-91,nhl,regular,BOS,EDM,A,1,8,L,-7,9,REG,,,,,,,,,
